batch_size,seqlen,gemv_time
1280,3840,1.4722649225295315
1280,3968,1.5171583001936784
1408,128,0.10758906435271245
1408,256,0.16127519365238743
1408,384,0.21496132295206238
1408,512,0.2686474522517375
1408,640,0.3223335815514125
1408,768,0.37601971085108754
1408,896,0.4297058401507626
1408,1024,0.48339196945043744
1408,1152,0.5370780987501126
1408,1280,0.5907642280497876
1408,1408,0.6444503573494625
1408,1536,0.6981364866491374
1408,1664,0.7519669629186282
1408,1792,0.8057974391881186
1408,1920,0.8596279154576094
1408,2048,0.9134583917271
1408,2176,0.9646544206768282
1408,2304,1.0158504496265564
1408,2432,1.0670464785762843
1408,2560,1.1182425075260125
1408,2688,1.1694385364757407
1408,2816,1.2206345654254687
1408,2944,1.2718305943751969
1408,3072,1.3230266233249253
1408,3200,1.3722677848780767
1408,3328,1.421508946431228
1408,3456,1.4707501079843797
1408,3584,1.5199912695375313
1408,3712,1.5692324310906827
1408,3840,1.6184735926438345
1408,3968,1.667714754196986
1536,128,0.11169482371502497
1536,256,0.17060054440529995
1536,384,0.22950626509557503
1536,512,0.2884119857858499
1536,640,0.347317706476125
1536,768,0.40622342716640003
1536,896,0.4651291478566749
1536,1024,0.52403486854695
1536,1152,0.582940589237225
1536,1280,0.6418463099275
1536,1408,0.700752030617775
1536,1536,0.75965775130805
1536,1664,0.8188766663742875
1536,1792,0.878095581440525
1536,1920,0.9373144965067626
1536,2048,0.996533411573
1536,2176,1.052360308889525
1536,2304,1.10818720620605
1536,2432,1.164014103522575
1536,2560,1.2198410008391003
1536,2688,1.275667898155625
1536,2816,1.33149479547215
1536,2944,1.3873216927886751
1536,3072,1.4431485901052
1536,3200,1.4967375355473562
1536,3328,1.5503264809895123
1536,3456,1.6039154264316686
1536,3584,1.657504371873825
1536,3712,1.711093317315981
1536,3840,1.7646822627581376
1536,3968,1.8182712082002936
1664,128,0.11580058307733761
1664,256,0.17992589515821236
1664,384,0.24405120723908744
1664,512,0.3081765193199624
1664,640,0.3723018314008374
1664,768,0.43642714348171247
1664,896,0.5005524555625873
1664,1024,0.5646777676434624
1664,1152,0.6288030797243376
1664,1280,0.6929283918052125
1664,1408,0.7570537038860875
1664,1536,0.8211790159669625
1664,1664,0.8857863698299469
1664,1792,0.9503937236929312
1664,1920,1.0150010775559157
1664,2048,1.0796084314188998
1664,2176,1.140066197102222
1664,2304,1.2005239627855437
1664,2432,1.2609817284688656
1664,2560,1.3214394941521874
1664,2688,1.3818972598355095
1664,2816,1.442355025518831
1664,2944,1.5028127912021532
1664,3072,1.563270556885475
1664,3200,1.621207286216636
1664,3328,1.6791440155477968
1664,3456,1.7370807448789578
1664,3584,1.7950174742101186
1664,3712,1.8529542035412798
1664,3840,1.9108909328724404
1664,3968,1.9688276622036016
1792,128,0.1199063424396499
1792,256,0.1892512459111251
1792,384,0.2585961493825999
1792,512,0.32794105285407504
1792,640,0.39728595632555
1792,768,0.466630859797025
1792,896,0.5359757632685
1792,1024,0.605320666739975
1792,1152,0.67466557021145
1792,1280,0.7440104736829249
1792,1408,0.8133553771543999
1792,1536,0.8827002806258749
1792,1664,0.9526960732856061
1792,1792,1.0226918659453377
1792,1920,1.0926876586050687
1792,2048,1.1626834512648
1792,2176,1.2277720853149188
1792,2304,1.2928607193650374
1792,2432,1.3579493534151563
1792,2560,1.4230379874652752
1792,2688,1.4881266215153937
1792,2816,1.5532152555655125
1792,2944,1.6183038896156314
1792,3072,1.6833925236657503
1792,3200,1.7456770368859158
1792,3328,1.8079615501060813
1792,3456,1.870246063326247
1792,3584,1.9325305765464127
1792,3712,1.9948150897665784
1792,3840,2.0570996029867437
1792,3968,2.119384116206909
1920,128,0.12401210180196243
1920,256,0.1985765966640374
1920,384,0.2731410915261124
1920,512,0.34770558638818727
1920,640,0.42227008125026255
1920,768,0.49683457611233756
1920,896,0.5713990709744124
1920,1024,0.6459635658364874
1920,1152,0.7205280606985625
1920,1280,0.7950925555606375
1920,1408,0.8696570504227125
1920,1536,0.9442215452847874
1920,1664,1.0196057767412658
1920,1792,1.0949900081977437
1920,1920,1.1703742396542218
1920,2048,1.2457584711107
1920,2176,1.3154779735276156
1920,2304,1.3851974759445314
1920,2432,1.454916978361447
1920,2560,1.5246364807783626
1920,2688,1.5943559831952783
1920,2816,1.6640754856121938
1920,2944,1.7337949880291093
1920,3072,1.8035144904460252
1920,3200,1.8701467875551954
1920,3328,1.9367790846643658
1920,3456,2.0034113817735357
1920,3584,2.070043678882706
1920,3712,2.1366759759918765
1920,3840,2.203308273101047
1920,3968,2.269940570210217
2048,128,0.12811786116427495
2048,256,0.20790194741694992
2048,384,0.2876860336696249
2048,512,0.3674701199222999
2048,640,0.4472542061749749
2048,768,0.52703829242765
2048,896,0.6068223786803248
2048,1024,0.6866064649329999
2048,1152,0.766390551185675
2048,1280,0.8461746374383501
2048,1408,0.9259587236910249
2048,1536,1.0057428099437
2048,1664,1.0865154801969248
2048,1792,1.16728815045015
2048,1920,1.2480608207033752
2048,2048,1.3288334909566
2048,2176,1.4031838617403125
2048,2304,1.4775342325240253
2048,2432,1.5518846033077374
2048,2560,1.6262349740914501
2048,2688,1.7005853448751624
2048,2816,1.7749357156588752
2048,2944,1.8492860864425875
2048,3072,1.9236364572263
2048,3200,1.9946165382244752
2048,3328,2.06559661922265
2048,3456,2.136576700220825
2048,3584,2.207556781219
2048,3712,2.278536862217175
2048,3840,2.3495169432153498
2048,3968,2.420497024213525
2176,128,0.1304639989813342
2176,256,0.2157938152038186
2176,384,0.3011236314263031
2176,512,0.3864534476487873
2176,640,0.4717832638712719
2176,768,0.5571130800937562
2176,896,0.6424428963162406
2176,1024,0.7277727125387249
