blocks,batch_size,seqlen,time,BW
64,384,768,0.0031545051434742,1533744992620.7383
64,384,1024,0.0041635860637311,1548867654298.2317
64,384,2048,0.0086551865743052,1489441379146.097
64,512,256,0.0020483218202785,1052524609490.7156
64,512,384,0.0025174911968672,1282891211702.756
64,512,512,0.003007202247201,1431039612984.2815
64,512,768,0.004238264324665,1522071645805.0996
64,512,1024,0.0055979785161358,1535993456783.6208
64,512,2048,0.0114827000723694,1496906122050.536
80,32,256,0.0001239257524813,1087298816444.8984
80,32,384,0.0001577937665428,1279228048246.3062
80,32,512,0.0001957002609262,1374367610584.4048
80,32,768,0.0002780813722206,1449877324685.222
80,32,1024,0.0003552539823333,1512730831249.8516
80,32,2048,0.0006837530559245,1571156058011.9707
80,64,256,0.0002301247054779,1171054813260.0583
80,64,384,0.0002855528736656,1413778172909.2925
80,64,512,0.0003589781812307,1498498304703.9912
80,64,768,0.0005164632597221,1561326450276.0022
80,64,1024,0.0006721397316704,1599083121196.926
80,64,2048,0.0013212367058457,1626177579304.102
80,128,256,0.0004379210321392,1230763641031.453
80,128,384,0.0005381346804007,1500399185197.8784
80,128,512,0.0006788156629,1584902127042.3386
80,128,768,0.0010009408986835,1611219497695.7295
80,128,1024,0.0013264886163748,1620529998873.798
80,128,2048,0.0026243057787004,1637435335042.375
80,256,256,0.0008495757379414,1268815146030.2693
80,256,384,0.0010526002042052,1534137711116.328
80,256,512,0.0013297955054942,1618077939886.1052
80,256,768,0.0020120248913213,1603096956659.3289
80,256,1024,0.0026547735096489,1619433511888.725
80,256,2048,0.0052447048550522,1638655035415.6116
80,384,256,0.0012658683473921,1277330179975.715
80,384,384,0.0015654812339279,1547288110201.326
80,384,512,0.0020018360051326,1612304478351.1782
80,384,768,0.0030439862809957,1589431101646.553
80,384,1024,0.0040108670294284,1607842826172.9055
80,384,2048,0.0078523470763212,1641724812046.8325
80,512,256,0.0016794080043004,1283731599753.8235
80,512,384,0.0020746741024869,1556710679585.039
80,512,512,0.0026817600017084,1604701963359.2888
80,512,768,0.0040578378692269,1589748571504.4077
80,512,1024,0.0053194108281065,1616430587870.319
80,512,2048,0.0104483699976712,1645091439126.9587
108,32,256,0.0001155721935223,1165888782529.0564
108,32,384,0.0001566297593619,1288734738674.567
108,32,512,0.0001937576309536,1388147133489.483
108,32,768,0.0002710102054065,1487707355503.9883
108,32,1024,0.0003419179814859,1571732640864.673
